iter	Passed	Remaining
0	1	135
1	2	121
2	3	116
3	4	108
4	5	108
5	6	104
6	7	102
7	9	104
8	10	107
9	11	107
10	12	104
11	13	100
12	14	99
13	15	97
14	17	96
15	18	95
16	19	94
17	20	94
18	21	92
19	22	91
20	24	91
21	26	92
22	27	90
23	28	89
24	29	88
25	30	86
26	31	85
27	32	83
28	33	82
29	34	80
30	35	79
31	36	78
32	37	76
33	38	75
34	40	75
35	41	73
36	42	72
37	43	71
38	44	69
39	45	68
40	46	66
41	46	64
42	47	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	55	58
49	57	57
50	58	56
51	59	55
52	61	54
53	63	53
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	70	47
60	72	46
61	74	45
62	76	44
63	77	43
64	79	42
65	81	41
66	82	40
67	84	39
68	86	38
69	87	37
70	88	36
71	89	34
72	91	33
73	92	32
74	93	31
75	95	30
76	96	28
77	97	27
78	98	26
79	100	25
80	101	23
81	102	22
82	103	21
83	104	19
84	106	18
85	107	17
86	108	16
87	109	14
88	110	13
89	111	12
90	113	11
91	114	9
92	116	8
93	117	7
94	118	6
95	120	5
96	121	3
97	122	2
98	124	1
99	125	0
