iter	Passed	Remaining
0	111	111042
1	113	56610
2	115	38484
3	118	29412
4	119	23872
5	122	20230
6	124	17623
7	126	15700
8	129	14205
9	131	13039
10	134	12077
11	137	11318
12	140	10647
13	141	9993
14	145	9556
15	148	9140
16	151	8741
17	153	8396
18	155	8043
19	158	7784
20	161	7546
21	164	7299
22	166	7071
23	169	6876
24	172	6715
25	174	6540
26	176	6376
27	178	6201
28	180	6040
29	183	5924
30	185	5784
31	186	5649
32	189	5543
33	192	5462
34	194	5350
35	196	5267
36	198	5167
37	200	5063
38	201	4972
39	204	4909
40	206	4820
41	207	4738
42	210	4673
43	212	4613
44	213	4541
45	216	4487
46	218	4438
47	220	4369
48	221	4307
49	223	4249
50	225	4204
51	227	4141
52	228	4091
53	231	4056
54	232	4003
55	234	3947
56	235	3892
57	237	3849
58	239	3815
59	240	3768
60	241	3720
61	242	3673
62	244	3632
63	246	3601
64	247	3559
65	248	3518
66	249	3480
67	251	3447
68	253	3426
69	255	3391
70	256	3355
71	257	3318
72	258	3287
73	260	3264
74	262	3233
75	263	3204
76	264	3175
77	266	3151
78	268	3130
79	270	3105
80	271	3075
81	272	3049
82	273	3018
83	275	3000
84	276	2980
85	278	2959
86	280	2942
87	282	2927
88	284	2915
89	286	2897
90	288	2880
91	291	2873
92	292	2856
93	294	2840
94	296	2822
95	298	2812
96	300	2794
97	301	2777
98	303	2766
99	306	2756
100	307	2740
101	309	2726
102	312	2717
103	314	2711
104	316	2698
105	319	2694
106	321	2686
107	323	2668
108	324	2654
109	326	2640
110	328	2628
111	329	2610
112	330	2592
113	331	2577
114	333	2565
115	335	2555
116	336	2537
117	337	2522
118	338	2506
119	340	2494
120	342	2486
121	343	2471
122	344	2458
123	346	2447
124	347	2435
125	350	2428
126	351	2413
127	352	2399
128	354	2390
129	355	2382
130	358	2375
131	359	2366
132	361	2357
133	363	2348
134	365	2344
135	367	2334
136	369	2325
137	371	2320
138	373	2315
139	375	2306
140	377	2297
141	378	2287
142	380	2281
143	382	2271
144	383	2261
145	385	2252
146	387	2245
147	388	2236
148	389	2227
149	391	2219
150	393	2211
151	395	2206
152	396	2196
153	397	2185
154	399	2178
155	401	2173
156	403	2164
157	404	2155
158	405	2144
159	407	2138
160	408	2127
161	410	2123
162	411	2115
163	413	2106
164	414	2098
165	417	2095
166	418	2088
167	420	2080
168	422	2075
169	424	2071
170	426	2067
171	427	2059
172	429	2054
173	432	2051
174	433	2043
175	434	2035
176	437	2032
177	438	2027
178	440	2019
179	441	2011
180	443	2004
181	444	1999
182	447	1996
183	448	1990
184	450	1986
185	452	1981
186	454	1977
187	456	1970
188	457	1964
189	459	1959
190	462	1957
191	463	1951
192	465	1946
193	467	1941
194	469	1937
195	472	1937
196	474	1934
197	476	1929
198	479	1929
199	480	1923
200	482	1919
201	484	1914
202	486	1909
203	487	1903
204	489	1899
205	491	1896
206	494	1894
207	496	1891
208	498	1886
209	501	1885
210	503	1881
211	504	1876
212	507	1875
213	509	1872
214	512	1869
215	514	1868
216	516	1864
217	518	1860
218	520	1857
219	523	1854
220	524	1849
221	526	1844
222	528	1840
223	530	1838
224	532	1834
225	534	1831
226	537	1830
227	539	1825
228	541	1822
229	543	1818
230	545	1817
231	547	1813
232	549	1808
233	552	1807
234	554	1803
235	556	1801
236	559	1802
237	561	1797
238	563	1793
239	566	1794
240	568	1791
241	570	1788
242	573	1785
243	575	1784
244	577	1780
245	579	1776
246	582	1775
247	584	1770
248	586	1768
249	589	1767
250	591	1764
251	593	1762
252	596	1759
253	597	1754
254	599	1750
255	602	1751
256	604	1747
257	606	1744
258	608	1740
259	611	1739
260	613	1735
261	615	1732
262	617	1730
263	619	1726
264	621	1723
265	623	1720
266	625	1717
267	626	1712
268	628	1708
269	630	1704
270	632	1700
271	634	1697
272	635	1693
273	637	1689
274	639	1684
275	640	1680
276	641	1675
277	643	1671
278	644	1666
279	647	1664
280	648	1659
281	649	1654
282	651	1650
283	653	1647
284	654	1643
285	656	1638
286	658	1635
287	660	1633
288	663	1632
289	664	1626
290	666	1622
291	668	1619
292	670	1616
293	671	1612
294	673	1608
295	674	1604
296	676	1602
297	678	1597
298	679	1593
299	681	1590
300	683	1588
301	685	1583
302	686	1578
303	687	1573
304	688	1569
305	690	1566
306	692	1562
307	693	1557
308	694	1553
309	696	1550
310	698	1548
311	700	1544
312	701	1539
313	702	1535
314	704	1532
315	707	1530
316	708	1526
317	709	1522
318	711	1518
319	714	1517
320	715	1514
321	717	1511
322	719	1507
323	721	1505
324	722	1501
325	725	1499
326	726	1495
327	729	1493
328	730	1490
329	731	1485
330	733	1482
331	735	1479
332	736	1476
333	738	1472
334	739	1468
335	741	1464
336	743	1462
337	744	1458
338	746	1454
339	747	1450
340	749	1447
341	751	1445
342	752	1442
343	754	1438
344	756	1435
345	758	1433
346	760	1431
347	761	1427
348	763	1424
349	765	1422
350	768	1420
351	769	1416
352	771	1413
353	773	1411
354	775	1408
355	776	1404
356	777	1401
357	780	1399
358	781	1395
359	783	1392
360	784	1388
361	785	1384
362	788	1383
363	789	1379
364	790	1375
365	791	1371
366	793	1368
367	795	1365
368	796	1362
369	797	1358
370	798	1354
371	801	1352
372	803	1350
373	805	1347
374	806	1344
375	808	1342
376	810	1339
377	812	1336
378	813	1332
379	814	1329
380	816	1326
381	818	1324
382	820	1321
383	821	1317
384	823	1314
385	825	1312
386	826	1309
387	827	1305
388	829	1302
389	830	1299
390	832	1296
391	834	1294
392	835	1290
393	837	1288
394	840	1286
395	842	1284
396	843	1281
397	845	1278
398	847	1276
399	849	1274
400	851	1272
401	854	1271
402	857	1270
403	858	1267
404	860	1264
405	863	1263
406	865	1261
407	867	1258
408	868	1255
409	870	1253
410	872	1250
411	873	1246
412	875	1243
413	876	1241
414	878	1238
415	880	1235
416	881	1232
417	883	1230
418	885	1228
419	887	1225
420	888	1221
421	890	1219
422	891	1216
423	893	1214
424	895	1211
425	896	1207
426	897	1205
427	899	1202
428	901	1199
429	902	1196
430	904	1194
431	906	1191
432	908	1189
433	910	1187
434	911	1184
435	913	1182
436	915	1180
437	917	1177
438	919	1174
439	921	1172
440	924	1171
441	926	1170
442	931	1170
443	934	1170
444	938	1169
445	940	1167
446	942	1166
447	945	1164
448	946	1161
449	949	1160
450	952	1158
451	954	1157
452	956	1155
453	959	1153
454	961	1152
455	964	1150
456	967	1149
457	969	1147
458	971	1145
459	974	1144
460	976	1141
461	980	1141
462	982	1140
463	985	1138
464	988	1137
465	991	1136
466	993	1134
467	995	1131
468	997	1129
469	999	1126
470	1002	1126
471	1005	1124
472	1008	1123
473	1010	1120
474	1011	1118
475	1013	1115
476	1015	1112
477	1018	1111
478	1021	1111
479	1023	1109
480	1026	1107
481	1028	1105
482	1030	1102
483	1031	1100
484	1034	1098
485	1035	1095
486	1037	1093
487	1041	1092
488	1043	1090
489	1045	1088
490	1048	1086
491	1050	1084
492	1051	1081
493	1053	1078
494	1055	1077
495	1057	1074
496	1059	1072
497	1061	1069
498	1063	1067
499	1065	1065
500	1067	1063
501	1069	1061
502	1072	1059
503	1074	1056
504	1075	1054
505	1077	1052
506	1079	1049
507	1080	1046
508	1083	1044
509	1085	1043
510	1087	1040
511	1088	1037
512	1090	1035
513	1093	1034
514	1095	1031
515	1097	1029
516	1099	1026
517	1101	1025
518	1103	1022
519	1105	1020
520	1108	1018
521	1110	1016
522	1112	1014
523	1115	1013
524	1117	1010
525	1119	1008
526	1121	1006
527	1123	1004
528	1125	1002
529	1127	999
530	1129	997
531	1131	995
532	1133	992
533	1135	990
534	1138	989
535	1139	986
536	1141	984
537	1143	982
538	1146	980
539	1147	977
540	1150	975
541	1152	974
542	1154	971
543	1156	969
544	1159	967
545	1161	965
546	1163	963
547	1165	961
548	1168	959
549	1170	957
550	1172	955
551	1174	953
552	1176	950
553	1177	948
554	1180	946
555	1183	945
556	1185	942
557	1188	941
558	1191	939
559	1193	937
560	1197	936
561	1199	934
562	1201	932
563	1204	930
564	1207	929
565	1211	929
566	1213	926
567	1217	925
568	1221	925
569	1223	923
570	1226	921
571	1228	919
572	1231	917
573	1233	915
574	1234	912
575	1237	910
576	1239	908
577	1243	907
578	1245	905
579	1248	903
580	1251	902
581	1254	900
582	1256	899
583	1258	896
584	1261	894
585	1263	892
586	1266	890
587	1268	888
588	1272	887
589	1274	885
590	1275	882
591	1278	881
592	1280	878
593	1282	876
594	1283	873
595	1285	871
596	1288	869
597	1290	867
598	1292	865
599	1294	863
600	1296	860
601	1298	858
602	1301	857
603	1303	854
604	1305	852
605	1307	850
606	1310	848
607	1312	845
608	1314	844
609	1315	841
610	1317	838
611	1320	837
612	1323	835
613	1324	832
614	1327	830
615	1330	829
616	1332	827
617	1334	825
618	1337	823
619	1339	820
620	1341	818
621	1345	817
622	1348	815
623	1349	813
624	1352	811
625	1354	809
626	1356	806
627	1358	804
628	1360	802
629	1362	800
630	1364	797
631	1366	795
632	1369	793
633	1371	791
634	1373	789
635	1376	787
636	1378	785
637	1380	783
638	1382	780
639	1383	778
640	1385	776
641	1388	774
642	1390	772
643	1392	769
644	1394	767
645	1396	765
646	1398	763
647	1400	760
648	1402	758
649	1405	756
650	1407	754
651	1410	752
652	1411	750
653	1414	748
654	1416	746
655	1420	744
656	1422	742
657	1424	740
658	1426	738
659	1429	736
660	1432	734
661	1434	732
662	1436	730
663	1438	728
664	1441	725
665	1442	723
666	1444	721
667	1447	719
668	1448	716
669	1450	714
670	1451	711
671	1454	709
672	1456	707
673	1458	705
674	1459	702
675	1462	700
676	1464	698
677	1466	696
678	1469	694
679	1470	692
680	1472	689
681	1477	688
682	1480	686
683	1481	684
684	1484	682
685	1485	680
686	1488	678
687	1490	676
688	1493	674
689	1495	671
690	1497	669
691	1500	668
692	1502	665
693	1505	663
694	1507	661
695	1510	659
696	1512	657
697	1514	655
698	1518	653
